channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
5,10117.604281,1,15,smooth,0,5220.602276,4897.002005,0,dir,396.9095016119222,64.20717776811013,15,1003.1826956378521,9,6,1,276.6365391275704,0,w5pro,dir_evasive,17
6,7404.630664,1,1,smooth,0,337.0,7067.630664,0,omni,492.04611762534705,492.04611762534705,17,791.6879057948264,11,6,17,260.3375811589653,0,w5pro,dir_evasive,18
7,6559.68273,1,1,smooth,0,41.0,6518.68273,0,dir,76.89952331887336,76.89952331887336,18,602.0317205088355,15,3,18,228.4063441017671,0,w5pro,dir_evasive,19
8,3116.242859,1,0,smooth,0,2057.010204,1059.2326549999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_evasive,3
9,10999.090256,1,2,smooth,0,53.0,10946.090256,0,dir,500.0,442.82624410236,19,2538.052553270006,16,3,19,621.6105106540011,0,w5pro,dir_evasive,20
10,7137.581945,1,18,smooth,0,59.0,7078.581945,0,dir,500.0,111.07872116246132,35,780.3824169310263,32,3,18,349.07648338620527,0,w5pro,dir_evasive,36
12,6416.451117,1,18,smooth,0,1291.0,5125.451117,0,dir,500.0,179.6875,31,2487.8308463354647,28,3,14,666.566169267093,0,w5pro,dir_evasive,32
13,9627.601861,1,22,smooth,0,5762.328146,3865.2737149999994,0,dir,500.0,153.05397727272728,22,1814.1063395525798,18,4,0,472.821267910516,0,w5pro,dir_evasive,23
14,5386.822075,1,0,smooth,0,4936.602276,450.2197990000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_evasive,1
16,9117.607702,1,12,smooth,0,5244.602276,3873.0054259999997,0,dir,500.0,276.0416666666667,12,1668.8647379818578,9,3,0,393.7729475963716,0,w5pro,dir_evasive,13
18,8527.239723,1,24,smooth,1,4960.602276,3566.637447000001,0,dir,500.0,142.3875,25,1965.4566488775058,21,4,1,519.0913297755012,0,w5pro,dir_evasive,26
20,11499.746204,1,1,smooth,0,119.0,11380.746204,0,omni,500.0,500.0,18,1690.8053820403286,9,9,18,446.1610764080657,0,w5pro,dir_evasive,19
